iter	Passed	Remaining
0	194	193894
1	229	114503
2	264	87784
3	300	74813
4	329	65608
5	361	59919
6	391	55545
7	420	52148
8	447	49257
9	476	47139
10	503	45261
11	530	43663
12	557	42327
13	585	41251
14	616	40515
15	654	40236
16	699	40470
17	757	41327
18	809	41781
19	855	41936
20	890	41512
21	923	41058
22	950	40395
23	977	39758
24	1005	39216
25	1033	38705
26	1059	38190
27	1086	37730
28	1117	37430
29	1146	37083
30	1173	36678
31	1201	36343
32	1227	35975
33	1256	35691
34	1283	35380
35	1310	35084
36	1336	34796
37	1364	34533
38	1391	34279
39	1418	34042
40	1447	33849
41	1473	33615
42	1500	33405
43	1528	33201
44	1555	33016
45	1584	32860
46	1611	32682
47	1639	32512
48	1665	32325
49	1693	32183
50	1720	32010
51	1746	31831
52	1772	31677
53	1798	31515
54	1826	31375
55	1852	31231
56	1878	31078
57	1904	30935
58	1930	30785
59	1956	30645
60	1982	30511
61	2007	30373
62	2033	30242
63	2058	30102
64	2084	29988
65	2112	29892
66	2138	29784
67	2164	29663
68	2190	29555
69	2216	29448
70	2243	29350
71	2269	29252
72	2295	29147
73	2322	29058
74	2348	28965
75	2375	28885
76	2401	28786
77	2427	28691
78	2453	28602
79	2478	28502
80	2505	28428
81	2531	28343
82	2558	28262
83	2583	28174
84	2610	28097
85	2635	28009
86	2662	27938
87	2688	27863
88	2714	27784
89	2740	27706
90	2766	27633
91	2791	27553
92	2817	27480
93	2844	27411
94	2869	27338
95	2898	27292
96	2925	27232
97	2951	27162
98	2977	27098
99	3003	27027
100	3029	26961
101	3056	26905
102	3083	26850
103	3109	26792
104	3138	26749
105	3164	26686
106	3190	26629
107	3216	26569
108	3242	26503
109	3268	26442
110	3292	26373
111	3319	26320
112	3345	26258
113	3371	26204
114	3399	26158
115	3427	26116
116	3453	26062
117	3479	26008
118	3505	25955
119	3531	25901
120	3557	25846
121	3582	25785
122	3608	25729
123	3634	25676
124	3660	25622
125	3686	25573
126	3714	25536
127	3741	25485
128	3767	25438
129	3793	25386
130	3819	25335
131	3847	25299
132	3873	25248
133	3901	25215
134	3930	25185
135	3958	25149
136	3984	25100
137	4010	25051
138	4036	25003
139	4062	24958
140	4089	24911
141	4116	24870
142	4141	24821
143	4168	24777
144	4194	24731
145	4219	24680
146	4245	24637
147	4272	24593
148	4296	24540
149	4323	24497
150	4349	24453
151	4374	24402
152	4403	24376
153	4431	24343
154	4458	24306
155	4484	24263
156	4513	24237
157	4543	24214
158	4569	24171
159	4596	24133
160	4622	24086
161	4648	24046
162	4674	24004
163	4700	23960
164	4726	23916
165	4753	23880
166	4779	23841
167	4805	23800
168	4832	23761
169	4858	23722
170	4884	23679
171	4912	23647
172	4937	23602
173	4962	23559
174	4991	23533
175	5018	23495
176	5044	23456
177	5070	23415
178	5096	23377
179	5123	23340
180	5150	23303
181	5175	23262
182	5201	23221
183	5227	23180
184	5252	23139
185	5279	23102
186	5306	23068
187	5332	23031
188	5358	22994
189	5384	22956
190	5409	22914
191	5436	22879
192	5463	22843
193	5488	22804
194	5516	22771
195	5542	22736
196	5569	22700
197	5594	22658
198	5620	22621
199	5646	22584
200	5672	22546
201	5698	22511
202	5725	22478
203	5750	22439
204	5776	22400
205	5801	22361
206	5826	22321
207	5853	22289
208	5879	22250
209	5904	22212
210	5930	22175
211	5955	22135
212	5980	22096
213	6006	22059
214	6031	22022
215	6059	21993
216	6084	21953
217	6115	21938
218	6141	21900
219	6166	21863
220	6192	21828
221	6218	21792
222	6244	21756
223	6269	21718
224	6294	21682
225	6321	21648
226	6346	21613
227	6372	21577
228	6398	21542
229	6423	21503
230	6449	21470
231	6475	21436
232	6501	21402
233	6527	21368
234	6552	21332
235	6580	21302
236	6605	21266
237	6632	21235
238	6659	21205
239	6684	21168
240	6711	21135
241	6736	21101
242	6762	21065
243	6787	21031
244	6813	20995
245	6838	20960
246	6864	20926
247	6889	20892
248	6915	20857
249	6940	20821
250	6966	20787
251	6993	20757
252	7018	20722
253	7045	20691
254	7069	20655
255	7096	20625
256	7122	20592
257	7149	20560
258	7176	20530
259	7201	20495
260	7226	20462
261	7253	20430
262	7279	20398
263	7306	20368
264	7331	20333
265	7356	20299
266	7381	20265
267	7406	20230
268	7433	20200
269	7459	20168
270	7486	20138
271	7512	20106
272	7537	20072
273	7562	20038
274	7589	20008
275	7614	19974
276	7641	19945
277	7667	19913
278	7693	19880
279	7720	19852
280	7746	19821
281	7772	19788
282	7797	19756
283	7824	19725
284	7850	19694
285	7876	19662
286	7905	19639
287	7930	19605
288	7956	19574
289	7981	19540
290	8007	19508
291	8033	19478
292	8058	19446
293	8084	19413
294	8113	19389
295	8140	19361
296	8168	19333
297	8194	19302
298	8219	19270
299	8245	19238
300	8270	19205
301	8296	19174
302	8322	19143
303	8348	19113
304	8373	19080
305	8401	19055
306	8428	19025
307	8454	18995
308	8480	18965
309	8507	18937
310	8533	18905
311	8559	18874
312	8585	18845
313	8611	18814
314	8638	18784
315	8663	18753
316	8690	18724
317	8716	18693
318	8741	18662
319	8768	18632
320	8793	18600
321	8820	18572
322	8846	18542
323	8872	18510
324	8898	18481
325	8924	18451
326	8950	18421
327	8976	18391
328	9002	18359
329	9027	18328
330	9054	18300
331	9080	18271
332	9105	18238
333	9131	18209
334	9158	18179
335	9183	18147
336	9209	18118
337	9235	18088
338	9261	18057
339	9287	18028
340	9313	17998
341	9338	17967
342	9364	17937
343	9389	17906
344	9415	17875
345	9440	17844
346	9466	17814
347	9492	17784
348	9518	17754
349	9544	17725
350	9570	17695
351	9595	17665
352	9622	17636
353	9648	17607
354	9673	17575
355	9698	17543
356	9723	17513
357	9751	17487
358	9777	17458
359	9804	17429
360	9829	17398
361	9854	17368
362	9880	17338
363	9907	17310
364	9933	17280
365	9958	17250
366	9984	17220
367	10009	17190
368	10035	17161
369	10061	17131
370	10087	17101
371	10114	17074
372	10139	17044
373	10166	17016
374	10192	16986
375	10217	16956
376	10243	16927
377	10270	16900
378	10296	16871
379	10322	16842
380	10348	16812
381	10373	16782
382	10399	16752
383	10425	16725
384	10451	16695
385	10477	16665
386	10502	16635
387	10527	16604
388	10552	16575
389	10579	16546
390	10604	16517
391	10630	16487
392	10655	16458
393	10681	16428
394	10708	16402
395	10736	16376
396	10762	16347
397	10790	16320
398	10816	16293
399	10843	16264
400	10869	16236
401	10895	16207
402	10921	16179
403	10947	16150
404	10974	16123
405	11002	16096
406	11028	16068
407	11055	16040
408	11081	16012
409	11107	15984
410	11133	15955
411	11160	15928
412	11186	15899
413	11215	15874
414	11240	15845
415	11266	15816
416	11292	15787
417	11320	15761
418	11346	15732
